Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00   29768/14055893     set_dt [85]
                0.00    0.00   29768/14055893     fieldline_content [86]
                0.00    0.00   44652/14055893     init_conservatives [108]
                0.00    0.00   59536/14055893     dump_content [50]
                0.00    0.00   80000/14055893     constotal [67]
                0.01    0.00  283584/14055893     diag_flux [53]
                0.01    0.00  476288/14055893     image_dump [18]
                0.06    0.00 2520000/14055893     advance_standard [5]
                0.10    0.00 4231248/14055893     fluxcalc_standard [8]
                0.15    0.00 6251280/14055893     flux_ct [39]
[31]     3.8    0.33    0.00 14055893         get_geometry [31]
-----------------------------------------------
                0.00    0.00       1/113         gdump [112]
                0.00    0.01       2/113         debugdump [104]
                0.00    0.01       2/113         fieldlinedump [106]
                0.00    0.01       2/113         fluxdumpdump [107]
                0.00    0.01       2/113         eosdump [105]
                0.00    0.01       4/113         restart_write [91]
                0.00    0.01       4/113         dump [90]
                0.01    0.26      96/113         image_dump [18]
[32]     3.7    0.01    0.31     113         dump_gen [32]
                0.08    0.03 1428864/1428864     image_content [46]
                0.00    0.09   59536/59536       dump_content [50]
                0.08    0.00 1681892/1681892     myfwrite [51]
                0.00    0.01   29768/29768       fieldline_content [86]
                0.00    0.01   14884/14884       gdump_content [88]
                0.00    0.00   59536/59536       rdump_content [113]
                0.00    0.00   29768/29768       eosdump_content [114]
                0.00    0.00   29768/29768       debug_content [116]
                0.00    0.00   29768/29768       fluxdump_content [117]
                0.00    0.00       4/4           write_restart_header [123]
                0.00    0.00      13/13          dump_header [133]
                0.00    0.00     113/113         getsizeofdatatype [171]
                0.00    0.00      96/96          image_header [173]
-----------------------------------------------
                0.00    0.00       1/475693      dxdxprim_ijk [132]
                0.20    0.07  475692/475693      dxdxprim [34]
[33]     3.1    0.20    0.07  475693         dxdxp_numerical [33]
                0.07    0.00 7611088/10019286     bl_coord [48]
-----------------------------------------------
